,Unnamed: 0,films,status,tagline,pg_val,original_language,production_companies,spoken_languages
20216,20216,Mukhosh,Released,Rape & Revenge,F,bn,SVF Entertainment,Bengali
20217,20217,Klokkenluider,Released,What you have seen is real and it is happening...,F,en,"Rook Films, Erebus Pictures, MarVista Entertainment","Dutch, English"
20218,20218,Attraction to Paris,Released,WHEN ALL SEEMS LOST JUST RUN!,F,en,Renaissant Films,English
20219,20219,Palasa 1978,Released,Palasa 1978,F,te,,Telugu
20220,20220,Cowgirls vs. Pterodactyls,Released,Cowgirls vs. Pterodactyls,F,en,Gooey Film Productions,English
20221,20221,James Bond,Released,"Not Me, My Wife",False,te,,Telugu
20222,20222,Ang TV Movie: The Adarna Adventure,Released,Ang TV Movie: The Adarna Adventure,False,en,Star Cinema – ABS-CBN Film Productions,Tagalog
20223,20223,Streets of Vengeance,Released,"Vegeance belongs in the streets, and the streets belong to Mila. They lust for Mila, but she lusts for revenge",False,en,A&P Films,English
20224,20224,Blindsided,Released,Blindsided,F,en,,English
20225,20225,Salvation,Released,Salvation,False,ru,"Salt Film Studio, Валдай, Gorky Film Studios",Russian
20226,20226,Malizia oggi,Released,Malizia oggi,False,it,,Italian
20227,20227,Gundaraj,Released,Gundaraj,F,hi,,Hindi
20228,20228,Virgin Hunters 2,Released,The Second Coming...,F,en,Full Moon Features,English
20229,20229,Alcatraz Prison Escape: Deathbed Confession,Released,A New Lead On One Of The Most Famous Unsolved Mysteries,False,en,"Popart Film Factory, Soi Dog Productions",English
20230,20230,American Bigfoot,Released,American Bigfoot,False,en,Buckdog Productions,English
20231,20231,Mang Kepweng Returns,Released,"Matawa, Matakot at Mamangha",F,tl,"Viva Films, Cineko Productions","English, Tagalog"
20232,20232,Barood,Released,Barood,F,hi,,Hindi
20233,20233,The Fabulous Joe,Released,A HOWLEROO THAT COULD HAPPEN TO YOU!,F,en,Hal Roach Studios,English
20234,20234,Blackhawk,Released,Tops in ADVENTURE! Tops in EXCITEMENT!,F,en,Columbia Pictures,English
20235,20235,Blood Heist,Released,Blood Heist,F,en,,
20236,20236,Moments of Clarity,Released,Moments of Clarity,F,en,"Long Stem Pictures, Phillm Productions",English
20237,20237,Light Years,Released,Light Years,False,es,"Bananeira Filmes, El Deseo, Rei Cine",Spanish
20238,20238,Eun-ha,Released,Eun-ha,F,ko,,Korean
20239,20239,The Fix,Released,The Fix,F,en,Work Hard Play Hard Productions,
20240,20240,Paisa Vasool,Released,Paisa Vasool,F,te,Bhavya Creations,Telugu
20241,20241,Agnee,Released,Agnee,False,bn,Jaaz Multimedia,"Bengali, Thai"
20242,20242,A Hole In The Head,Released,A Hole In The Head,False,cs,"Hitchhiker Cinema, Česká televize, RTVS, atelier.doc","Czech, French, German, Polish, Slovak"
20243,20243,YOU AND ME,Released,YOU AND ME,False,ka,,
20244,20244,Fags in the Fast Lane,Released,Fags in the Fast Lane,False,en,,English
20245,20245,Ayngaran,Released,Ayngaran,False,ta,Common Man Productions,Tamil
20246,20246,Gone By Dawn,Released,Gone By Dawn,F,en,Mind Engine Entertainment,
20247,20247,No Way to Live,Released,Nothing is black and white,False,en,Modernciné,English
20248,20248,Saheb Bibi Golaam,Released,Saheb Bibi Golaam,False,bn,Friends Communication,Bengali
20249,20249,Three Kinds of Heat,Released,Three Kinds of Heat,F,en,Cannon Group,English
20250,20250,One Hour to Zero,Released,One Hour to Zero,False,en,Children's Film Foundation (CFF),English
20251,20251,Knock Outs,Released,They fight hard. They love even harder.,F,en,Retromedia Entertainment,English
20252,20252,Puss In Boots,Released,Puss In Boots,F,fr,Pathé,No Language
20253,20253,Abruptio,Released,Everyone's a Puppet,False,en,"Sweet Home Films, HellBent Pictures LLC",English
20254,20254,The Girl Who Couldn't Quite,Released,The Girl Who Couldn't Quite,False,en,John Argyle Productions,English
20255,20255,Operation: Neighborhood Watch!,Released,Operation: Neighborhood Watch!,False,en,,English
20256,20256,Faraar,Released,Faraar,F,pa,Sippy Grewal Productions,Punjabi
20257,20257,The Silent Scream,Released,The Silent Scream,False,en,,English
