,Name,ID,Gender,Age,Genres,Popularity,Followers
148,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,male,26,['rap'],86,6368806
149,Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,male,45,"['dance pop', 'latin pop', 'mexican pop']",75,11327161
150,Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,mixed,10,"['agronejo', 'arrocha', 'pop nacional', 'sertanejo', 'sertanejo universitario']",76,11395480
151,Ninho,6Te49r3A6f5BiIgBRxH7FH,male,24,"['french hip hop', 'pop urbaine']",76,9087192
152,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,male,21,"['melodic rap', 'rap', 'trap']",79,9225930
153,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,male,36,['german hip hop'],73,1721952
154,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,mixed,15,"['boy band', 'pop']",76,7376219
155,Mambo Kingz,2T1aUibqR2QC2sINIDQOAK,mixed,0,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",75,254161
156,John Legend,5y2Xq6xcjJb2jVM54GHK3t,male,41,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",75,6682492
157,Pitbull,0TnOYISbd1XYRBk9myaseg,male,39,"['dance pop', 'miami hip hop', 'pop']",80,10383655
158,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,mixed,7,"['girl group', 'pop', 'talent show']",66,16318507
159,Lil Pump,3wyVrVrFCkukjdVIdirGVY,male,0,"['emo rap', 'miami hip hop', 'pop rap', 'rap', 'trap']",62,7968478
160,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,male,22,['pop'],68,5547284
161,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,male,25,"['edm', 'german dance', 'pop dance', 'tropical house']",72,1301441
162,Beyoncé,6vWDO969PvNqNYHIOW5v0m,female,38,"['pop', 'r&b']",84,36692823
163,Daya,6Dd3NScHWwnW6obMFbl1BH,female,21,"['alt z', 'pop']",67,1544419
164,Normani,2cWZOOzeOm4WmBJRnD5R7I,female,24,"['pop', 'r&b']",66,2569752
165,Lunay,47MpMsUfWtgyIIBEFOr4FE,male,20,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",67,9187581
166,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,mixed,12,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",81,20781523
167,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,male,39,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",80,20542602
168,Grey,4lDBihdpMlOalxy1jkUbPl,male,54,['pop edm'],63,73993
169,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,female,26,"['hip pop', 'pop']",77,14388919
170,Lil Yachty,6icQOAFXDZKsumw3YXyusw,male,22,"['atl hip hop', 'melodic rap', 'rap', 'trap']",77,9530745
171,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,male,28,"['pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']",75,5347867
172,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,male,37,"['pop rap', 'seattle hip hop']",75,2142670
173,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,mixed,7,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",70,7409809
174,2 Chainz,17lzZA2AlOHwCwFALHttmp,male,43,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,8109718
175,Feid,2LRoIwlKmHjgvigdNGBHNo,male,27,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",89,8720100
176,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,male,35,"['german hip hop', 'hamburg hip hop']",73,2183475
177,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,mixed,16,"['modern rock', 'pop']",75,12094183
178,benny blanco,5CiGnKThu5ctn9pBxv7DGa,male,32,['pop'],68,1091640
179,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,male,27,"['kentucky hip hop', 'r&b', 'rap']",78,7747027
180,Tainy,0GM7qgcRCORpGnfcN2tCiB,male,30,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",77,1862921
181,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,mixed,9,"['danish pop', 'scandipop']",70,2165489
182,Justin Timberlake,31TPClRtHm23RisEBtV3X7,male,39,"['dance pop', 'pop']",79,13587602
183,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,male,44,['pop soul'],71,1053553
184,Bradley Cooper,4VIvfOurcf0vuLRxLkGnIG,male,45,['hollywood'],67,237673
185,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,male,32,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",79,11266000
186,Brytiago,00XhexlJEXQstHimpZN910,male,28,"['reggaeton', 'trap latino', 'urbano latino']",73,6798357
187,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,other,27,['pop'],83,22933561
188,Dímelo Flow,3fZk3Gm5dN5v5yfYMQ04Bx,male,31,"['reggaeton', 'reggaeton flow', 'urbano latino']",64,404233
189,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,female,32,"['dance pop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",71,3544581
190,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,male,25,"['australian pop', 'pop', 'viral pop']",79,8095476
191,Sfera Ebbasta,23TFHmajVfBtlRx5MXqgoz,male,27,"['italian hip hop', 'italian pop', 'trap italiana', 'trap latino']",81,5872128
192,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,female,26,"['pop', 'r&b en espanol']",78,8081718
193,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,male,30,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",79,21070104
194,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,mixed,0,"['latin pop', 'pop venezolano', 'reggaeton', 'urbano latino']",68,6869038
195,Meek Mill,20sxb77xiYeusSH8cVdatc,male,33,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",73,7730822
196,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,male,39,"['latin pop', 'puerto rican pop']",66,1667739
197,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,mixed,10,"['boy band', 'pop', 'post-teen pop', 'talent show']",81,34219112
198,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,male,31,"['arrocha', 'forro', 'sertanejo', 'sertanejo universitario']",73,12256612
199,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,male,21,"['melodic rap', 'rap']",71,9905447
200,MC Kevinho,1mXAhKnZEdF6rotyyd4GBi,male,21,"['funk carioca', 'funk ostentacao', 'funk pop', 'sertanejo universitario']",62,7984966
201,Samra,6h1s4i4XKIYv4ErDelLDN0,male,25,['german hip hop'],66,1280800
202,Little Mix,3e7awlrlDSwF3iM0WBjGMp,mixed,8,"['girl group', 'pop', 'talent show', 'uk pop']",72,11836357
203,Mustard,0YinUQ50QDB7ZxSCLyQ40k,male,30,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",69,1132328
204,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,male,17,"['melodic rap', 'pluggnb', 'rap']",79,6673893
205,Alesso,4AVFqumd2ogHFlRbKIjp1t,male,29,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",72,3982148
