,names,Run Time,imdb_score,val,Writer,film
208,DC League of Super-Pets,not-released,no-rating,0,Sam Levine,Felix the Landlord
209,Spider-Man: Across the Spider-Verse,not-released,no-rating,0,Kemp Powers,The Fallout: Volume One
210,Speed,"$30,000,000 (estimated)",7.3,358K,Graham Yost,"Goose: 2021.04.09 - Suwannee Rising - Live Oak, FL"
211,Indiana Jones and the Last Crusade,"$48,000,000 (estimated)",8.2,741K,Jeffrey Boam,M3LL155X
212,The Last Samurai,"$140,000,000 (estimated)",7.8,433K,John Logan,For Your Blossom
213,The Last Samurai,not-released,7.4,355,Shôtarô Ikenami,Referência
214,Transformers,"$150,000,000 (estimated)",7,629K,Roberto Orci,A Kiss in the Snow
215,Logan,"$97,000,000 (estimated)",8.1,736K,James Mangold,Night Shift
216,Armageddon,"$140,000,000 (estimated)",6.7,421K,Jonathan Hensleigh,These Are the Days
217,Spider-Man: Far from Home,"$160,000,000 (estimated)",7.4,468K,Chris McKenna,Twenty10 Thimphu
218,Ready or Not,1 hour 35 minutes,6.8,143K,Tyler Gillett,Static
219,The Crow,"$23,000,000 (estimated)",7.5,181K,James O'Barr,"Hot, Raw and Ready!"
220,Kill Bill: Vol. 1,"$30,000,000 (estimated)",8.2,1.1M,Quentin Tarantino,XXX Training
221,Minority Report,"$102,000,000 (estimated)",7.7,543K,Philip K. Dick,Ernie Hasse and Signature Sound: Christmas Live!
222,Ready Player One,"$175,000,000 (estimated)",7.4,424K,Zak Penn,King's Rhapsody
223,Hell or High Water,"$12,000,000 (estimated)",7.6,227K,Taylor Sheridan,Si tu roules avec la Mafia K'1 Fry
224,Man of Steel,"$225,000,000 (estimated)",7.1,757K,David S. Goyer,Inner Space
225,The Lord of the Rings: The Two Towers,"$94,000,000 (estimated)",8.8,1.6M,J.R.R. Tolkien,Nutt In The Butt
226,The Harder They Fall,2 hours 19 minutes,6.5,59K,Jeymes Samuel,Iris
227,Kick-Ass,"$30,000,000 (estimated)",7.6,555K,Jane Goldman,Zudušo draugu meklējot
228,Shazam!,"$100,000,000 (estimated)",7,322K,Henry Gayden,Stairway To Heaven
229,Jumanji: Welcome to the Jungle,"$90,000,000 (estimated)",6.9,368K,Chris McKenna,Eisley: I Wasn't Prepared
230,The Incredibles,"$92,000,000 (estimated)",8,716K,Brad Bird,Sindhustan
