,names,Run Time,imdb_score,val,Writer,film
277,Alita: Battle Angel,"$170,000,000 (estimated)",7.3,261K,James Cameron,The Time is Right
278,Batman Returns,"$80,000,000 (estimated)",7.1,301K,Bob Kane,Pretend You're There
279,In Time,"$40,000,000 (estimated)",6.7,405K,Andrew Niccol,We Workers S1E03 - 1983-2015 The Forgotten
280,The Equalizer,"$55,000,000 (estimated)",7.2,365K,Richard Wenk,Cat Days
281,Argylle,not-released,no-rating,0,Elly Conway,WWF SummerSlam Spectacular 1994: Sunday Night Slam
282,V for Vendetta,"$54,000,000 (estimated)",8.2,1.1M,Lilly Wachowski,Duplets
283,The Siege of Robin Hood,not-released,2.6,227,Paul Allica,Mondrian Voor Rebecca
284,The Bourne Identity,"$60,000,000 (estimated)",7.9,540K,Tony Gilroy,La fiera de la sierra
285,Point Break,"$24,000,000 (estimated)",7.2,179K,Rick King,Switchcraft
286,Power Rangers,"$100,000,000 (estimated)",5.9,107K,John Gatins,Don't Ask Don't Tell
287,Sucker Punch,"$82,000,000 (estimated)",6,242K,Zack Snyder,Mickey & Maria
288,X-Men,"$75,000,000 (estimated)",7.3,607K,Tom DeSanto,Paris Urchin
289,Don't Breathe 2,1 hour 38 minutes,6,52K,Fede Alvarez,The Squirt Whisperer
290,Army of Thieves,not-released,6.4,73K,Zack Snyder,A Night at Switch n' Play
291,Superman,"$55,000,000 (estimated)",7.4,173K,Jerry Siegel,"Depeche Mode VOLT Festival, Sopron, Hungary 2018"
292,The Incredible Hulk,"$150,000,000 (estimated)",6.6,480K,Zak Penn,Goff
293,Highlander,"$16,000,000 (estimated)",7.1,134K,Gregory Widen,No way back
294,Kaithi,2 hours 25 minutes,8.5,25K,Lokesh Kanagaraj,Zoophobia
295,Kingdom of Heaven,"$130,000,000 (estimated)",7.2,285K,William Monahan,Nada en la nevera
296,Greenland,"$34,000,000 (estimated)",6.4,113K,Chris Sparling,大橋沙代子 Refine 優雅
297,The Legend of Tarzan,1 hour 50 minutes,6.2,176K,Adam Cozad,Ruins in Reverse
298,The Meg,1 hour 53 minutes,5.6,168K,Dean Georgaris,The Love Storm
299,Game Night,1 hour 40 minutes,6.9,231K,Jonathan Goldstein,Seduced by a Cougar 17
300,X-Men: Apocalypse,"$178,000,000 (estimated)",6.9,427K,Simon Kinberg,Bombay Talkies
301,King Arthur: Legend of the Sword,"$175,000,000 (estimated)",6.7,214K,Joby Harold,"Gold Moon, Sharp Arrow"
302,Den of Thieves,2 hours 20 minutes,7,109K,Christian Gudegast,The Halls of Power
303,Face/Off,"$80,000,000 (estimated)",7.3,372K,Mike Werb,Derren Brown: Pushed to the Edge
304,Murder Mystery,1 hour 37 minutes,6,124K,James Vanderbilt,The Order
305,Snake Eyes,2 hours 1 minute,5.3,37K,Evan Spiliotopoulos,Double  Cross
306,From Dusk Till Dawn,"$19,000,000 (estimated)",7.2,309K,Robert Kurtzman,King Of Coke: Living The High Life
307,The Hunger Games: Catching Fire,"$130,000,000 (estimated)",7.5,654K,Simon Beaufoy,Policía de homicidios
308,Ocean's Eight,1 hour 50 minutes,6.3,214K,Gary Ross,Hunting Season
309,RED,"$58,000,000 (estimated)",7,306K,Jon Hoeber,WAAAH
310,The Karate Kid,"$8,000,000 (estimated)",7.3,220K,Robert Mark Kamen,Killer Abs
311,GoldenEye,"$60,000,000 (estimated)",7.2,255K,Ian Fleming,Superchavalas
312,How to Train Your Dragon,"$165,000,000 (estimated)",8.1,724K,Chris Sanders,"Bi Now, Gay Later 2"
313,Total Recall,"$65,000,000 (estimated)",7.5,325K,Philip K. Dick,Sandy at home
314,Pineapple Express,"$27,000,000 (estimated)",6.9,336K,Seth Rogen,春困
315,Warrior,"$25,000,000 (estimated)",8.2,465K,Gavin O'Connor,謝謝你讓我知道
316,Wolf Hound,not-released,3.9,327,Michael B. Chait,Through the looking glasses
317,Jack Reacher: Never Go Back,1 hour 58 minutes,6.1,156K,Richard Wenk,Trash Talking
318,Harry Potter and the Order of the Phoenix,"$150,000,000 (estimated)",7.5,567K,Michael Goldenberg,Belsen: Our Story
319,Hot Fuzz,"£8,000,000 (estimated)",7.8,498K,Edgar Wright,PWFG: Lion King Legend
320,Allied,2 hours 4 minutes,7.1,154K,Steven Knight,My First Miracle
321,American Made,"$50,000,000 (estimated)",7.1,176K,Gary Spinelli,المراهقة الصغيرة
322,First Blood,"$15,000,000 (estimated)",7.7,248K,David Morrell,Shukno Lanka
323,The New Mutants,1 hour 34 minutes,5.3,76K,Josh Boone,Nimbus libéré
324,Eraser,"$100,000,000 (estimated)",6.1,111K,Tony Puryear,Children of the Devil
325,Unlocked,1 hour 38 minutes,6.3,35K,Peter O'Brien,"Back to the Future - Time Travel, American Dream & Rock & Roll"
326,The Spy Who Never Dies,1 hour 39 minutes,5.2,1.4K,Corey Pearson,BOOKANIMA: Andy Warhol
327,Training Day,2 hours 2 minutes,7.7,427K,David Ayer,Rogue Adventures 41
328,Love and Monsters,"$1,070,714",6.9,123K,Brian Duffield,Desire Named Streetcar
329,The Patriot,"$110,000,000 (estimated)",7.2,272K,Robert Rodat,La moitié du ciel
330,Rango,"$135,000,000 (estimated)",7.2,260K,John Logan,Triste crepúsculo
331,Chaos Walking,"$125,000,000 (estimated)",5.7,45K,Patrick Ness,Bølle
332,Wanted,"$75,000,000 (estimated)",6.7,384K,Michael Brandt,Bodensee: Natur und Genuss am Bodensee
333,Rush Hour,"$33,000,000 (estimated)",7,263K,Ross LaManna,Two Types: The Faces of Britain
334,Endangered Species,1 hour 41 minutes,4.6,1.9K,M.J. Bassett,My Best Friend's Wedding
335,Spider-Man 2,"$200,000,000 (estimated)",7.4,637K,Stan Lee,Face The Edge
336,Transformers: The Last Knight,2 hours 34 minutes,5.2,149K,Art Marcum,Algorithms of Beauty
337,Midnight Run,"$35,000,000 (estimated)",7.5,85K,George Gallo,La dolce arte di esistere
338,Ip Man: The Awakening,not-released,4.6,183,Zhang Zhu Lin,Thomas Dolby - Live Wireless
339,Overlord,"$38,000,000 (estimated)",6.6,98K,Billy Ray,Watchers II
340,Dr. No,"$1,000,000 (estimated)",7.2,165K,Richard Maibaum,Redline
341,Ava,1 hour 36 minutes,5.4,54K,Matthew Newton,Breeding Garden
342,Conan the Barbarian,"$20,000,000 (estimated)",6.9,148K,Robert E. Howard,The Gua Sha Treatment
343,Tomb Raider,1 hour 59 minutes,6.3,211K,Geneva Robertson-Dworet,She's Only 18 4
344,Old Henry,1 hour 39 minutes,7.2,22K,Potsy Ponciroli,Le petit oiseau va sortir
345,Harry Potter and the Half-Blood Prince,"$250,000,000 (estimated)",7.6,531K,Steve Kloves,Worth How Many Words
346,Logan's Run,"$9,000,000 (estimated)",6.8,56K,David Zelag Goodman,The King's Highway
347,Captain America: The Winter Soldier,"$170,000,000 (estimated)",7.8,822K,Joe Russo,Farewell to the Land
348,Hard to Kill,"$11,500,000 (estimated)",5.8,30K,Steven McKay,Away (A)wake
349,Open Range,2 hours 19 minutes,7.4,73K,Lauran Paine,Yankeeography: Vol. 2
350,The Rocketeer,"$35,000,000 (estimated)",6.5,57K,Dave Stevens,Britain Welcomes the President of Pakistan
351,The Nice Guys,1 hour 56 minutes,7.3,316K,Shane Black,The Nutcracker
352,Pearl Harbor,"$140,000,000 (estimated)",6.2,329K,Randall Wallace,An Affair: My Wife's Friend 2
353,Snowpiercer,2 hours 6 minutes,7.1,355K,Jacques Lob,"Minha Mãe, Minha Filha"
354,Kung Fu Panda,"$130,000,000 (estimated)",7.6,459K,John Stevenson,Einordnen und Abbiegen
355,Looper,"$30,000,000 (estimated)",7.4,569K,Rian Johnson,MESSiAH
356,John Wick: Chapter 3 - Parabellum,"$75,000,000 (estimated)",7.4,329K,Derek Kolstad,March Comes in Like a Lion
357,Batman v Superman: Dawn of Justice,"$250,000,000 (estimated)",6.4,689K,Chris Terrio,Day of Reckoning
358,Inferno,"$75,000,000 (estimated)",6.2,174K,Dan Brown,Nicaragua Part 1: Voyages
359,Inferno,1 hour 35 minutes,5.1,9.9K,Tom O'Rourke,My House
360,Planet of the Apes,"$100,000,000 (estimated)",5.7,219K,Pierre Boulle,Shakira In Concert: El Dorado World Tour
361,King Kong,"$207,000,000 (estimated)",7.2,418K,Fran Walsh,Restoring 'Entuziazm'
362,Masters of the Universe,"$22,000,000 (estimated)",5.3,41K,David Odell,Herschel and the Music of the Stars
363,Smokey and the Bandit,"$4,300,000 (estimated)",6.9,50K,Hal Needham,Buffalo Soldiers:  George Jordan and the Indian Wars
364,Miami Vice,"$135,000,000 (estimated)",6,117K,Michael Mann,The Catch
365,Polar,1 hour 58 minutes,6.3,88K,Jayson Rothwell,Ohnsorg-Theater - Familienanschluß
366,"Lock, Stock and Two Smoking Barrels","£960,000 (estimated)",8.2,573K,Guy Ritchie,"Felix Mendelssohn - A Midsummer Night's Dream & Tchaikovsky - Manfred Symphony - Lucerne Festival Orchestra, Riccardo Chailly"
367,Jumper,"$85,000,000 (estimated)",6.1,304K,David S. Goyer,Las locuras de Tin Tan
368,Mulan,"$200,000,000 (estimated)",5.7,145K,Rick Jaffa,Lágrimas de dragón
369,Blade,"$45,000,000 (estimated)",7.1,269K,David S. Goyer,Gobernador
370,2012,"$200,000,000 (estimated)",5.8,374K,Roland Emmerich,Four Christmases
371,Gold,1 hour 37 minutes,5.4,6.9K,Anthony Hayes,Die eiskalte Nacht
372,Gold,1 hour 43 minutes,5.6,1.7K,Arturo Pérez-Reverte,Rush - Grace Under Pressure
373,The Day After Tomorrow,"$125,000,000 (estimated)",6.4,443K,Roland Emmerich,琉球トラウマナイト2016 SLAUGHTER
374,The Warriors,"$4,000,000 (estimated)",7.5,102K,Sol Yurick,神笔录
375,The Warriors,not-released,5.8,653,Daniel B. Ullman,Indecent Peeping: A Woman Who Wants to Be Seen
376,13 Hours,2 hours 24 minutes,7.3,139K,Chuck Hogan,micro sun
377,The Protégé,1 hour 49 minutes,6.1,30K,Richard Wenk,500 Great Goals
378,Teenage Mutant Ninja Turtles,"$13,500,000 (estimated)",6.7,93K,Kevin Eastman,The Transcendents
379,Teenage Mutant Ninja Turtles,not-released,no-rating,0,Lindsey Beer,Shanghai Dreams
380,Mr. & Mrs. Smith,"$110,000,000 (estimated)",6.5,486K,Simon Kinberg,Comforter
381,Iron Man 2,"$200,000,000 (estimated)",6.9,798K,Justin Theroux,BURNOUT
382,Constantine,"$100,000,000 (estimated)",7,337K,Jamie Delano,Jethro Tull: Aqualung (40th Anniversary Edition)
383,Pacific Rim,"$190,000,000 (estimated)",6.9,495K,Travis Beacham,"Martha Rosler Reads ""Vogue"""
384,Incredibles 2,1 hour 58 minutes,7.6,288K,Brad Bird,Hoře z rozumu
385,Ant-Man,"$130,000,000 (estimated)",7.3,647K,Edgar Wright,The family jewels
386,G.I. Joe: The Rise of Cobra,"$175,000,000 (estimated)",5.7,208K,Stuart Beattie,Lucky Luke - Tortillas Voor De Daltons
387,Big Hero 6,"$165,000,000 (estimated)",7.8,451K,Chris Williams,Majestic Mountains
388,Man on Fire,"$70,000,000 (estimated)",7.7,358K,A.J. Quinnell,18 Year Old Virgin
389,Terminator: Dark Fate,"$185,000,000 (estimated)",6.2,173K,David S. Goyer,Dave Holland & Pepe Habichuela - JazzBaltica
390,X-Men: Days of Future Past,"$200,000,000 (estimated)",7.9,701K,Simon Kinberg,Death was destined for all of us early... In memory of Alla Horska
391,Tag,"$28,000,000 (estimated)",6.5,131K,Rob McKittrick,Honoring Our Kings: OWN Celebrates Black Fatherhood
392,Tag,1 hour 25 minutes,6.1,6.9K,Yûsuke Yamada,Mother's hundredth autumn day
393,Robin Hood,"$200,000,000 (estimated)",6.6,267K,Brian Helgeland,The Waldgeist & Me
394,Central Intelligence,"$50,000,000 (estimated)",6.3,186K,Ike Barinholtz,"Kali-Yug, Goddess of Vengeance"
395,Death Proof,"$31,126,421",7,288K,Quentin Tarantino,What Can a Dog Teach or Morning Walks With Jim
396,Shooter,2 hours 4 minutes,7.2,331K,Stephen Hunter,SHINee World 2016 ~DxDxD~
397,Never Back Down,"$20,000,000 (estimated)",6.5,101K,Chris Hauty,Three Lives
398,Angel Has Fallen,"$40,000,000 (estimated)",6.4,95K,Robert Mark Kamen,The Upper Floor: Trained Slaves Serve Their Master in Intense BDSM
399,The Princess,not-released,no-rating,0,Ben Lustig,The Christmas Messenger
400,Live Free or Die Hard,"$110,000,000 (estimated)",7.1,404K,John Carlin,Sauver Mozart
401,Dredd,"$50,000,000 (estimated)",7.1,271K,John Wagner,Things I Like About You
402,Charlie's Angels,1 hour 58 minutes,4.9,72K,Elizabeth Banks,Garage Sale Mysteries: Murder In D Minor
403,Hitman: Agent 47,"$35,000,000 (estimated)",5.7,91K,Skip Woods,BSドキュメンタリー「法と現実のはざまで～ある北京人民代表の責務～」
404,The Fast and the Furious: Tokyo Drift,"$85,000,000 (estimated)",6,267K,Chris Morgan,Last Day of the Year
405,Hitman,"$24,000,000 (estimated)",6.2,169K,Skip Woods,Golden Bomber Movie
406,Hitman,not-released,6.1,5.2K,Hing-Ka Chan,"People, Gods and other Creatures"
407,Triple Frontier,"$115,000,000 (estimated)",6.4,126K,Mark Boal,Hanging by a Thread
408,21 Jump Street,"$42,000,000 (estimated)",7.2,549K,Christopher Miller,Treasure Hunters
409,Warcraft,"$160,000,000 (estimated)",6.7,261K,Charles Leavitt,Casting Pearls
410,Falling Down,"$25,000,000 (estimated)",7.6,187K,Ebbe Roe Smith,Afroprojection #1: The Sweet Atmosphere Phased at 120° and Went Blank When the Universe Collapsed
411,District 9,"$30,000,000 (estimated)",7.9,673K,Neill Blomkamp,Bie jiao wo ba li
412,RoboCop,"$13,000,000 (estimated)",7.6,254K,Edward Neumeier,The Guerilla Fighter
413,The Mummy Returns,"$98,000,000 (estimated)",6.4,320K,Stephen Sommers,El chacal del puerto
414,Beverly Hills Cop,1 hour 45 minutes,7.3,181K,Daniel Petrie Jr.,Desire
415,Pokémon: Detective Pikachu,"$150,000,000 (estimated)",6.5,159K,Dan Hernandez,The Kolaborator
416,Star Trek Beyond,"$185,000,000 (estimated)",7,244K,Simon Pegg,Bound! 4
417,Copshop,1 hour 47 minutes,6.2,28K,Kurt McLeod,Kaylani Lei's Fornic-Asian
418,Children of Men,"$76,000,000 (estimated)",7.9,494K,Alfonso Cuarón,BTS Japan Official Fanmeeting Vol.4 ~Happy Ever After~
419,The Man from U.N.C.L.E.,"$75,000,000 (estimated)",7.2,303K,Guy Ritchie,Austony: A Cockumentary
420,American Sniper,"$58,800,000 (estimated)",7.3,477K,Jason Hall,Measures Kindling
421,Eraser: Reborn,not-released,4.5,766,Tony Puryear,Vijetha Vikram
422,Rambo: Last Blood,1 hour 29 minutes,6.1,96K,Matthew Cirulnick,Western Arabs
423,Resident Evil,"$33,000,000 (estimated)",6.6,267K,Paul W.S. Anderson,Events in a Cloud Chamber
424,Mandy,"$6,000,000 (estimated)",6.5,77K,Panos Cosmatos,Héroe a la fuerza
425,Tomorrow Never Dies,"$110,000,000 (estimated)",6.5,193K,Bruce Feirstein,犬童美乃梨 フルフル ~fruitful~
426,Midway,"$100,000,000 (estimated)",6.7,83K,Wes Tooke,Yellow Light
427,Red Sparrow,2 hours 20 minutes,6.6,183K,Justin Haythe,Depeche Mode: NOS Alive Festival 2017
428,Revenge,"$22,000,000 (estimated)",6.1,19K,Jim Harrison,Absurdités protéiformes
429,We Can Be Heroes,1 hour 40 minutes,4.7,15K,Robert Rodriguez,"La distinction. Critique sociale du jugement, Paris 1979"
430,Samaritan,not-released,no-rating,0,Bragi F. Schut,Raw Rural Rascals
431,Underwater,"$80,000,000 (estimated)",5.8,80K,Brian Duffield,The Power of Innocence
432,Fast & Furious,"$85,000,000 (estimated)",6.5,284K,Chris Morgan,Super Police
433,3:10 to Yuma,"$55,000,000 (estimated)",7.7,308K,Halsted Welles,Foot Art 24
434,Mad Max,"$300,000 (estimated)",6.8,205K,James McCausland,aaa
435,Over the Top,1 hour 33 minutes,5.8,54K,Gary Conway,"Renaud, souvenirs, souvenirs"
436,The Losers,"$25,000,000 (estimated)",6.3,101K,Peter Berg,Ignace
437,Hot Shots!,"$26,000,000 (estimated)",6.7,107K,Jim Abrahams,Pittsburgh
438,A History of Violence,"$32,000,000 (estimated)",7.4,237K,John Wagner,It's wet!
439,Gunpowder Milkshake,1 hour 54 minutes,6,42K,Navot Papushado,Panels for the Walls of Heaven
440,The Fate of the Furious,2 hours 16 minutes,6.6,228K,Gary Scott Thompson,Cum On Her Ass
441,Logan Lucky,1 hour 58 minutes,7,148K,Jules Asner,Lilla Lisa och den röda bollen
442,Red Dawn,"$65,000,000 (estimated)",5.3,77K,Carl Ellsworth,Take 2
443,Red Dawn,not-released,8,1.8K,Guadalupe Ortega,Radio On Remix
444,Vendetta,1 hour 36 minutes,3.7,675,Jared Cohn,Vergeet my nie
445,Vendetta,not-released,5.1,342,Augusto Caminito,Intimate Moments
446,Hulk,"$137,000,000 (estimated)",5.6,266K,Stan Lee,Super Hornio Brothers II
447,Ant-Man and the Wasp: Quantumania,not-released,no-rating,0,Jack Kirby,"Lazy Susan: Forgive Me, Mother!"
448,Stargate,"$55,000,000 (estimated)",7,189K,Dean Devlin,Don't Think About It
449,The Last of the Mohicans,"$40,000,000 (estimated)",7.7,167K,James Fenimore Cooper,"Si Boneka Kayu, Pinokio"
450,Dick Tracy,1 hour 45 minutes,6.2,62K,Chester Gould,It's All Over!
451,U.S. Marshals,"$60,000,000 (estimated)",6.5,105K,Roy Huggins,The Pilgrim's Progress
452,Godzilla: King of the Monsters,"$170,000,000 (estimated)",6,178K,Michael Dougherty,张碧晨：自饰 北京演唱会
453,In the Heart of the Sea,2 hours 2 minutes,6.9,137K,Charles Leavitt,Pojkarna
454,Allegiant,2 hours,5.6,120K,Noah Oppenheim,Brännvin och fågelholkar: Söderkåkar reser västerut
455,Deep Impact,"$75,000,000 (estimated)",6.2,177K,Bruce Joel Rubin,Unknown Morning
456,Angels & Demons,"$150,000,000 (estimated)",6.7,290K,David Koepp,Borderline
457,The Blues Brothers,"$27,000,000 (estimated)",7.9,197K,Dan Aykroyd,Asylum of Terror
458,The Last Airbender,1 hour 43 minutes,4,163K,M. Night Shyamalan,Woman
459,The Quick and the Dead,"$32,000,000 (estimated)",6.5,94K,Simon Moore,Father and Son
460,Sherlock Holmes,"$90,000,000 (estimated)",7.6,624K,Michael Robert Johnson,"Cigarettes, Regrets & Not So Empty Threats"
461,The Book of Eli,"$80,000,000 (estimated)",6.8,314K,Allen Hughes,Boy Next Door
462,Sicario: Day of the Soldado,2 hours 2 minutes,7.1,145K,Taylor Sheridan,Rhythms
463,Kong: Skull Island,"$185,000,000 (estimated)",6.6,313K,Dan Gilroy,Miss World
464,Forsaken,1 hour 30 minutes,6.3,12K,Brad Mirman,Alan Shearer's Euro 96: When Football Came Home
465,Forsaken,1 hour 35 minutes,2.9,498,Mikhail Raskhodnikov,Donald Trump Parking Lot
466,Fast Five,"$125,000,000 (estimated)",7.3,377K,Chris Morgan,Jan Delay & Disko No.1 Live @ Rock am Ring
467,Snow White and the Huntsman,"$170,000,000 (estimated)",6.1,287K,Evan Daugherty,The Dapper Slapper
468,Star Trek Into Darkness,"$190,000,000 (estimated)",7.7,480K,Roberto Orci,Partly Sunny
469,Bumblebee,1 hour 54 minutes,6.7,161K,Christina Hodson,Pure girls from europe 3
470,Enola Holmes 2,not-released,no-rating,0,Jack Thorne,Adult Entertainment: Disrobing an American Idol
471,The Roundup,1 hour 46 minutes,7.3,336,Ma Dong-seok,Henley Regatta
472,Rocketry: The Nambi Effect,not-released,8.6,397,Madhavan,Bachelor Party
473,Law Abiding Citizen,"$50,000,000 (estimated)",7.4,293K,Kurt Wimmer,Guido Weijers: De Oudejaarsconference 2006
474,Kate,not-released,6.2,59K,Umair Aleem,The Eternal Wife
475,Deep Blue Sea,"$60,000,000 (estimated)",5.9,133K,Duncan Kennedy,KTDS-777 My Toys Tsurupeta Buggers Sister Manami
476,John Wick: Chapter 2,"$40,000,000 (estimated)",7.4,417K,Derek Kolstad,"Connected: An Autoblogography About Love, Death & Technology"
477,They Live,"$4,000,000 (estimated)",7.2,127K,Ray Nelson,Ecce homo kardinál
478,The Saint,"$68,000,000 (estimated)",6.2,68K,Leslie Charteris,The Mockingbird
479,Predators,"$40,000,000 (estimated)",6.4,224K,Alex Litvak,Zoo Time
480,The Guest,"$5,000,000 (estimated)",6.7,100K,Simon Barrett,24 Hours to Midnight
481,The Vault,1 hour 58 minutes,6.4,24K,Rafa Martínez,The Princess Knight
482,The Vault,1 hour 31 minutes,4.8,13K,Dan Bush,Bitter Almonds
483,Deadpool 3,not-released,no-rating,0,Rob Liefeld,ALCINA Handel — Opera North
484,Pixels,"$88,000,000 (estimated)",5.6,143K,Tim Herlihy,Teen Anal Sluts
485,Van Helsing,"$160,000,000 (estimated)",6,263K,Stephen Sommers,The Man Who Loved Flowers
486,The Silencing,1 hour 33 minutes,6.2,23K,Micah Ranum,Leo
487,Small Soldiers,"$40,000,000 (estimated)",6.2,99K,Gavin Scott,Juke and Opal
488,Die Hard 2,"$70,000,000 (estimated)",7.1,358K,Steven E. de Souza,Hollywood in Vienna 2016: The Sound of Space
489,The Last Castle,2 hours 11 minutes,6.9,79K,David Scarpa,Renee XIV
490,National Treasure,"$100,000,000 (estimated)",6.9,328K,Jim Kouf,Pearl of the Desert
491,Geostorm,1 hour 49 minutes,5.3,106K,Dean Devlin,The Man With The Jazz Guitar
492,Fast & Furious Presents: Hobbs & Shaw,"$200,000,000 (estimated)",6.5,207K,Chris Morgan,Shades of Love: Lilac Dream
493,Independence Day: Resurgence,"$165,000,000 (estimated)",5.2,178K,Nicolas Wright,Hasse Brontén - Live från Gröna Lundsteatern
494,Ant-Man and the Wasp,1 hour 58 minutes,7,384K,Chris McKenna,Filhos do Caos
495,Napoleon,not-released,no-rating,0,David Scarpa,A Throwing Forth
496,Napoleon,5 hours 30 minutes,8.2,7.8K,Abel Gance,Où Sont les Femmes ?
497,Green Lantern,"$200,000,000 (estimated)",5.5,283K,Greg Berlanti,To Redemption
498,Big Trouble in Little China,"$25,000,000 (estimated)",7.2,138K,Gary Goldman,Rockey X
499,Hotel Mumbai,2 hours 3 minutes,7.6,62K,John Collee,Joey & Joey 新城容祖兒音樂會
500,X-Men Origins: Wolverine,"$150,000,000 (estimated)",6.5,498K,David Benioff,Lesbian Legal 10
501,Anek,2 hours 27 minutes,7.7,12K,Sima Agarwal,Dappi No Kinehi
502,Double Threat,not-released,4.5,458,CJ Walley,Before the Gate of Ictihad
503,Pain & Gain,"$26,000,000 (estimated)",6.4,215K,Christopher Markus,MILF Revolution 2
504,I Am Legend,"$150,000,000 (estimated)",7.2,742K,Mark Protosevich,Apne Apne
505,Greyhound,"$50,300,000 (estimated)",7,94K,Tom Hanks,Les Municipaux : Trop c'est trop
506,Lucy,"$40,000,000 (estimated)",6.4,487K,Luc Besson,Big Tits Boss 21
507,The Forever Purge,1 hour 43 minutes,5.4,31K,James DeMonaco,Der Katzensteg
508,Super 8,"$50,000,000 (estimated)",7,352K,J.J. Abrams,in our skin
509,Willy's Wonderland,"$5,500,000 (estimated)",5.5,27K,G.O. Parsons,Chance Encounters With Oxygen
510,The Twilight Saga: Eclipse,"$68,000,000 (estimated)",5,244K,Melissa Rosenberg,Schlepper - Der Usedom-Krimi
